App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,2,0.096620,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,3,0.098044,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,4,0.103130,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,5,0.136705,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,6,0.146721,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,7,0.146948,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,8,0.148178,172.30.1.1,172.30.1.250,TLSv1.3,700
Call of Duty,9,0.148580,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,10,0.180812,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,11,0.182530,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,12,0.188685,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,13,0.191699,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,14,0.194342,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,15,0.194552,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,16,0.202202,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,17,0.202884,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,18,0.204573,172.30.1.250,172.30.1.1,TLSv1.3,356
Call of Duty,19,0.205300,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,20,0.206380,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,21,0.206499,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,22,0.207170,172.30.1.1,172.30.1.250,TLSv1.3,2288
Call of Duty,23,0.207325,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,24,0.222351,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,25,0.229010,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,26,0.252042,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,27,0.276309,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,28,0.276705,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,29,0.277957,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,30,0.278482,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,31,0.291172,172.30.1.250,172.30.1.1,TCP,152
Call of Duty,32,0.291506,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,33,0.291588,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,34,0.291852,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,35,0.292745,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,36,0.293002,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,37,0.301918,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,38,0.313506,172.30.1.1,172.30.1.250,TCP,204
