App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,2,0.100392,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,3,0.100759,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,4,0.113750,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,5,0.114063,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,6,0.206416,172.30.1.250,172.30.1.1,TCP,152
Call of Duty,7,0.206775,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,8,0.209906,172.30.1.1,172.30.1.250,TCP,204
Call of Duty,9,0.210087,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,10,0.332031,172.30.1.250,172.30.1.1,TCP,220
Call of Duty,11,0.373808,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,12,0.464599,172.30.1.250,172.30.1.1,TCP,156
Call of Duty,13,0.465156,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,14,0.822157,172.30.1.1,172.30.1.250,UDP,128
Call of Duty,15,0.871382,172.30.1.250,172.30.1.1,UDP,100
Call of Duty,16,1.410900,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,17,1.442470,172.30.1.250,172.30.1.1,UDP,232
Call of Duty,18,1.450353,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,19,1.455178,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,20,1.487113,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,21,1.487863,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,22,1.504020,172.30.1.1,172.30.1.250,TLSv1.3,700
Call of Duty,23,1.504452,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,24,1.550790,172.30.1.250,172.30.1.1,TLSv1.3,356
Call of Duty,25,1.551475,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,26,1.552778,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,27,1.552899,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,28,1.553545,172.30.1.1,172.30.1.250,TLSv1.3,2288
Call of Duty,29,1.553778,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,30,1.586919,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,31,1.630380,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,32,1.646523,172.30.1.1,172.30.1.250,DNS,120
Call of Duty,33,1.666241,172.30.1.1,172.30.1.250,TCP,124
Call of Duty,34,1.666277,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,35,1.666399,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,36,1.666597,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,37,1.667511,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,38,1.670672,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,39,1.682624,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,40,1.700492,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,41,1.704715,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,42,1.708600,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,43,1.721060,172.30.1.1,172.30.1.250,UDP,80
Call of Duty,44,1.728852,172.30.1.250,172.30.1.1,DNS,200
Call of Duty,45,1.742203,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,46,1.744214,172.30.1.1,172.30.1.250,UDP,152
Call of Duty,47,1.744508,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,48,1.744646,172.30.1.1,172.30.1.250,UDP,152
Call of Duty,49,1.746213,172.30.1.250,172.30.1.1,DNS,148
Call of Duty,50,1.751890,172.30.1.250,172.30.1.1,DNS,140
Unknown,51,1.755750,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,52,1.769512,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,53,1.784993,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,54,1.789458,172.30.1.250,172.30.1.1,UDP,84
Call of Duty,55,1.817023,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,56,1.818560,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,57,1.838701,172.30.1.1,172.30.1.250,UDP,128
Call of Duty,58,1.839024,172.30.1.1,172.30.1.250,UDP,192
Unknown,59,1.848747,172.30.1.250,172.30.1.1,TCP,96
Unknown,60,1.849104,172.30.1.1,172.30.1.250,TCP,88
Unknown,61,1.849304,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,62,1.868522,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,63,1.868914,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,64,1.882272,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,65,1.883563,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,66,1.897287,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,67,1.899355,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,68,1.904568,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,69,1.905248,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,70,1.991119,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,71,1.992157,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,72,1.992659,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,73,1.997342,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,74,1.997521,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,75,1.997957,172.30.1.1,172.30.1.250,TLSv1.2,772
Call of Duty,76,1.998065,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,77,2.020614,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,78,2.028129,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,79,2.028303,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,80,2.028795,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,81,2.029148,172.30.1.1,172.30.1.250,TLSv1.2,900
Call of Duty,82,2.029289,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,83,2.127473,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,84,2.127947,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,85,2.128066,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,86,2.153422,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,87,2.190954,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,88,2.201820,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,89,2.234302,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,90,2.433934,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,91,2.434972,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,92,2.435758,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,93,2.647460,172.30.1.1,172.30.1.250,UDP,152
Call of Duty,94,2.743183,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,95,2.743735,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,96,2.743857,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,97,2.818544,172.30.1.1,172.30.1.250,UDP,224
Call of Duty,98,3.052101,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,99,3.052454,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,100,3.052568,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,101,3.132571,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,102,3.167650,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,103,3.172163,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,104,3.270632,172.30.1.250,172.30.1.1,TCP,96
