App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,2,0.031993,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,3,0.039585,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,4,0.134519,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,5,0.134937,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,6,0.144368,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,7,0.145959,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,8,0.255083,172.30.1.250,172.30.1.1,TLSv1.2,4536
Call of Duty,9,0.256317,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,10,0.266051,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,11,0.266262,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,12,0.369982,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,13,0.373572,172.30.1.1,172.30.1.250,TLSv1.2,636
Call of Duty,14,0.373801,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,15,0.374000,172.30.1.1,172.30.1.250,TLSv1.2,8308
Call of Duty,16,0.374231,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,17,0.374386,172.30.1.1,172.30.1.250,TLSv1.2,10048
Call of Duty,18,0.374492,172.30.1.1,172.30.1.250,TLSv1.2,1852
Call of Duty,19,0.374559,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,20,0.621767,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,21,0.625391,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,22,0.625451,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,23,0.626094,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,24,0.626108,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,25,0.644930,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,26,0.755439,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,27,0.756749,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,28,0.762680,172.30.1.1,172.30.1.250,TLSv1.2,604
