timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-27T11:40:11.761483,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.828544,gNB-DU,,1,1,,,0.00,0.05,1.02,501,4376
2025-10-27T11:40:11.828818,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.829270,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-27T11:40:11.829627,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.830041,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T11:40:11.830484,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.831061,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T11:40:11.831288,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.831645,gNB-DU,,1,1,,,0.00,0.02,0.51,40,832
2025-10-27T11:40:11.832087,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.832602,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.832831,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.833335,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.833639,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.834226,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-27T11:40:11.834548,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.835084,gNB-DU,,1,1,,,0.00,0.00,0.00,30,340
2025-10-27T11:40:11.835514,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.835920,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.836147,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.836541,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.836936,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.837351,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-27T11:40:11.837703,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.838162,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T11:40:11.838563,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.838907,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-27T11:40:11.839196,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.839723,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.840148,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.840852,gNB-DU,,1,1,,,0.00,0.00,0.00,30,340
2025-10-27T11:40:11.841189,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.841529,gNB-DU,,1,1,,,0.00,0.00,0.00,30,300
2025-10-27T11:40:11.841973,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.842697,gNB-DU,,1,1,,,0.00,0.00,0.00,35,310
2025-10-27T11:40:11.843206,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.843577,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T11:40:11.843962,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.844474,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T11:40:11.844894,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.845446,gNB-DU,,1,1,,,0.00,0.02,0.51,40,762
2025-10-27T11:40:11.845721,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.846246,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T11:40:11.846596,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.847130,gNB-DU,,1,1,,,0.00,0.00,0.00,30,345
2025-10-27T11:40:11.847413,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.847948,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T11:40:11.848197,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.848717,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T11:40:11.849013,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.849509,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T11:40:11.849847,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.928461,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T11:40:11.928849,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.929335,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T11:40:11.929660,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.930071,gNB-DU,,1,1,,,0.00,0.00,0.00,30,345
2025-10-27T11:40:11.930347,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T11:40:11.930726,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
