timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-27T09:34:18.085072,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.085337,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.085685,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.085943,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.086317,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.086539,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.086835,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.087086,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.087446,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.087707,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.088002,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.088199,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.088554,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.088786,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.089102,gNB-DU,,1,1,,,0.00,0.00,0.00,35,320
2025-10-27T09:34:18.089270,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.089580,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.089830,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.090284,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.090537,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.090886,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.091142,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.091443,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.091645,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.091969,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.092509,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.092843,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T09:34:18.093116,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.093502,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.093746,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.094090,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.094408,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.094767,gNB-DU,,1,1,,,0.00,0.02,0.51,40,791
2025-10-27T09:34:18.095013,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.095356,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.095593,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.095958,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.096175,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.096527,gNB-DU,,1,1,,,0.00,0.00,0.00,30,320
2025-10-27T09:34:18.096786,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.097222,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.097456,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.097745,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.098020,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.098391,gNB-DU,,1,1,,,0.00,0.00,0.00,30,320
2025-10-27T09:34:18.098664,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.098994,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.099225,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.099591,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.099828,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.100185,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.100420,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.100765,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.101146,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.101507,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.101717,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.173319,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.173618,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.173927,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.174122,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.174379,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.174575,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.174930,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.175144,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.175430,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.175607,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.175893,gNB-DU,,1,1,,,0.00,0.00,0.00,30,345
2025-10-27T09:34:18.185341,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.185896,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T09:34:18.186168,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.186530,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.186847,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.187224,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
