App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,2,0.298864,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,3,0.299614,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,4,0.301508,172.30.1.1,172.30.1.250,SSL,128
Call of Duty,5,0.302059,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,6,0.500126,172.30.1.250,172.30.1.1,SSL,136
Call of Duty,7,0.500824,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,8,0.502035,172.30.1.1,172.30.1.250,SSL,140
Call of Duty,9,0.502333,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,10,0.596487,172.30.1.250,172.30.1.1,SSL,224
Call of Duty,11,0.598860,172.30.1.1,172.30.1.250,SSL,292
Call of Duty,12,0.599281,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,13,0.611874,172.30.1.1,172.30.1.250,SSL,252
Call of Duty,14,0.612093,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,15,2.613264,172.30.1.1,172.30.1.250,SSL,244
Call of Duty,16,2.614702,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,17,2.792163,172.30.1.250,172.30.1.1,SSL,164
Call of Duty,18,2.834573,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,19,8.760622,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,20,9.046590,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,21,9.065763,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,22,9.384705,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,23,9.386123,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,24,9.393167,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,25,9.393713,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,26,9.706356,172.30.1.250,172.30.1.1,TLSv1.2,3520
Call of Duty,27,9.709760,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,28,9.721516,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,29,9.722058,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,30,9.993769,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,31,10.005124,172.30.1.1,172.30.1.250,TLSv1.2,2344
Call of Duty,32,10.005780,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,33,10.287954,172.30.1.250,172.30.1.1,TLSv1.2,1388
Call of Duty,34,10.330691,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,35,64.855315,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,36,64.856883,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,37,65.148342,172.30.1.250,172.30.1.1,TCP,88
