App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,2,0.077878,172.30.1.250,172.30.1.1,DNS,132
Call of Duty,3,0.087547,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,4,0.223726,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,5,0.224090,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,6,0.232495,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,7,0.232942,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,8,0.346729,172.30.1.250,172.30.1.1,TLSv1.2,3536
Call of Duty,9,0.348149,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,10,0.400522,172.30.1.1,172.30.1.250,TLSv1.2,212
Call of Duty,11,0.400602,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,12,0.514136,172.30.1.250,172.30.1.1,TLSv1.2,140
Call of Duty,13,0.515099,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,14,0.515589,172.30.1.1,172.30.1.250,TLSv1.2,776
Call of Duty,15,0.515655,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,16,0.545452,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,17,0.668055,172.30.1.250,172.30.1.1,TLSv1.2,440
Call of Duty,18,0.668271,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,19,0.670444,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,20,0.670528,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,21,0.670788,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,22,0.670989,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,23,0.672979,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,24,0.721605,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,25,0.721948,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,26,0.726071,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,27,0.726424,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,28,0.782015,172.30.1.250,172.30.1.1,TLSv1.3,1424
Call of Duty,29,0.782607,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,30,0.802919,172.30.1.250,172.30.1.1,TLSv1.3,2376
Call of Duty,31,0.803137,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,32,0.804809,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,33,0.804904,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,34,0.805196,172.30.1.1,172.30.1.250,TLSv1.3,2208
Call of Duty,35,0.805396,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,36,0.848209,172.30.1.250,172.30.1.1,TLSv1.3,692
Call of Duty,37,0.896109,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,38,0.932474,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,39,0.933056,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,40,0.933156,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,41,0.951424,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,42,0.957149,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,43,0.966967,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,44,0.969407,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,45,0.970985,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,46,0.990083,172.30.1.250,172.30.1.1,DNS,148
Call of Duty,47,0.996862,172.30.1.1,172.30.1.250,DNS,112
Call of Duty,48,0.998189,172.30.1.250,172.30.1.1,DNS,200
Call of Duty,49,1.005632,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,50,1.037224,172.30.1.250,172.30.1.1,DNS,176
Call of Duty,51,1.046671,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,52,1.084189,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,53,1.084292,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,54,1.085013,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,55,1.085185,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,56,1.087008,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,57,1.087130,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,58,1.089582,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,59,1.089799,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,60,1.090074,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,61,1.090221,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,62,1.097237,172.30.1.1,172.30.1.250,TLSv1.3,660
Call of Duty,63,1.097598,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,64,1.130061,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,65,1.130258,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,66,1.143143,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,67,1.143540,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,68,1.160806,172.30.1.250,172.30.1.1,TLSv1.3,6084
Call of Duty,69,1.161337,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,70,1.180972,172.30.1.1,172.30.1.250,TLSv1.3,152
Call of Duty,71,1.181176,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,72,1.184193,172.30.1.1,172.30.1.250,TLSv1.3,180
Call of Duty,73,1.184342,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,74,1.190031,172.30.1.1,172.30.1.250,TLSv1.3,1424
Call of Duty,75,1.190200,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,76,1.220367,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,77,1.220747,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,78,1.220969,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,79,1.220996,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,80,1.223675,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,81,1.223720,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,82,1.223936,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,83,1.224114,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,84,1.225736,172.30.1.1,172.30.1.250,TLSv1.2,772
Call of Duty,85,1.225779,172.30.1.1,172.30.1.250,TLSv1.2,856
Call of Duty,86,1.226028,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,87,1.226195,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,88,1.236255,172.30.1.250,172.30.1.1,TLSv1.3,232
Call of Duty,89,1.236683,172.30.1.250,172.30.1.1,TLSv1.3,160
Call of Duty,90,1.237537,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,91,1.237576,172.30.1.1,172.30.1.250,TLSv1.3,120
Call of Duty,92,1.237978,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,93,1.243909,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,94,1.244170,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,95,1.246038,172.30.1.250,172.30.1.1,TLSv1.3,316
Call of Duty,96,1.264407,172.30.1.250,172.30.1.1,TCP,152
Call of Duty,97,1.265030,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,98,1.265482,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,99,1.288115,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,100,1.370943,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,101,1.380156,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,102,1.412032,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,103,1.424167,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,104,1.865289,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,105,1.936232,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,106,1.939913,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,107,2.048160,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,108,2.049034,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,109,2.050505,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,110,2.050827,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,111,2.172335,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,112,2.172591,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,113,2.175149,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,114,2.175271,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,115,2.175374,172.30.1.1,172.30.1.250,TLSv1.2,2952
Call of Duty,116,2.175469,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,117,2.291620,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,118,2.293350,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,119,2.297473,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,120,2.297494,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,121,2.297605,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,122,2.297616,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,123,2.302225,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,124,2.418218,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,125,2.418852,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,126,2.421043,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,127,2.422158,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,128,2.652441,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,129,2.653439,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,130,2.657666,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,131,2.657888,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,132,2.658040,172.30.1.1,172.30.1.250,TLSv1.2,3052
Call of Duty,133,2.658172,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,134,2.780280,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,135,2.781105,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,136,2.787621,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,137,2.787668,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,138,2.788088,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,139,2.788104,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,140,2.888797,172.30.1.1,172.30.1.250,DNS,128
Call of Duty,141,2.921221,172.30.1.1,172.30.1.250,DNS,140
Call of Duty,142,2.922851,172.30.1.1,172.30.1.250,DNS,140
Call of Duty,143,2.935609,172.30.1.250,172.30.1.1,DNS,160
Call of Duty,144,2.938622,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,145,2.959164,172.30.1.250,172.30.1.1,DNS,312
Call of Duty,146,2.960420,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,147,3.000780,172.30.1.250,172.30.1.1,DNS,212
Call of Duty,148,3.005038,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,149,3.035587,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,150,3.036296,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,151,3.037287,172.30.1.1,172.30.1.250,SSL,128
Call of Duty,152,3.037892,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,153,3.046177,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,154,3.046490,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,155,3.048016,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,156,3.048774,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,157,3.090648,172.30.1.250,172.30.1.1,TLSv1.3,1424
Call of Duty,158,3.092959,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,159,3.092995,172.30.1.250,172.30.1.1,TLSv1.3,2372
Call of Duty,160,3.093119,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,161,3.096273,172.30.1.250,172.30.1.1,DNS,256
Call of Duty,162,3.097330,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,163,3.097550,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,164,3.097749,172.30.1.1,172.30.1.250,TLSv1.3,2496
Call of Duty,165,3.097927,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,166,3.136269,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,167,3.140141,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,168,3.140489,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,169,3.151730,172.30.1.250,172.30.1.1,SSL,136
Call of Duty,170,3.152335,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,171,3.152415,172.30.1.1,172.30.1.250,SSL,140
Call of Duty,172,3.152903,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,173,3.202328,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,174,3.263273,172.30.1.250,172.30.1.1,SSL,224
Call of Duty,175,3.266587,172.30.1.1,172.30.1.250,SSL,292
Call of Duty,176,3.268174,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,177,3.272747,172.30.1.1,172.30.1.250,SSL,1176
Call of Duty,178,3.272886,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,179,3.273369,172.30.1.1,172.30.1.250,SSL,1160
Call of Duty,180,3.273429,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,181,3.273762,172.30.1.1,172.30.1.250,SSL,428
Call of Duty,182,3.274142,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,183,3.300648,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,184,3.300949,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,185,3.304702,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,186,3.305042,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,187,3.325757,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,188,3.368295,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,189,3.414787,172.30.1.250,172.30.1.1,SSL,164
Call of Duty,190,3.421145,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,191,3.421513,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,192,3.429004,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,193,3.429263,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,194,3.455987,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,195,3.604396,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,196,3.648376,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,197,3.750419,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,198,3.751644,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,199,3.765868,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,200,3.766071,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,201,3.924496,172.30.1.250,172.30.1.1,TCP,264
Call of Duty,202,3.968263,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,203,3.980899,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,204,3.981042,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,205,3.981215,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,206,3.981561,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,207,4.027890,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,208,4.131648,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,209,4.132320,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,210,4.138880,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,211,4.139387,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,212,4.250637,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,213,4.251092,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,214,4.261178,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,215,4.261439,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,216,4.367917,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,217,4.412174,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,218,4.564430,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,219,4.565051,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,220,4.598208,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,221,4.598447,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,222,4.732144,172.30.1.250,172.30.1.1,TCP,664
Call of Duty,223,4.776293,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,224,4.840690,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,225,4.884847,172.30.1.250,172.30.1.1,DNS,344
Call of Duty,226,4.891461,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,227,5.000602,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,228,5.001057,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,229,5.003431,172.30.1.1,172.30.1.250,TLSv1.3,716
Call of Duty,230,5.003802,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,231,5.114487,172.30.1.250,172.30.1.1,TLSv1.3,348
Call of Duty,232,5.115260,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,233,5.118527,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,234,5.118705,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,235,5.120724,172.30.1.1,172.30.1.250,TLSv1.3,416
Call of Duty,236,5.120862,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,237,5.229649,172.30.1.250,172.30.1.1,TLSv1.3,1168
Call of Duty,238,5.272072,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,239,5.642933,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,240,5.844780,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,241,5.844988,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,242,5.845786,172.30.1.1,172.30.1.250,TCP,240
Call of Duty,243,5.846122,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,244,5.961822,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,245,5.962512,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,246,5.969559,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,247,5.970158,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,248,6.068307,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,249,6.111894,172.30.1.1,172.30.1.250,TCP,88
