App Name,No.,Time,Source,Destination,Protocol,Length
Twitch,1,0.000000,172.30.1.1,172.30.1.250,DNS,136
Twitch,2,0.041290,172.30.1.250,172.30.1.1,DNS,372
Twitch,3,0.044559,172.30.1.1,172.30.1.250,TCP,108
Twitch,4,0.133157,172.30.1.1,172.30.1.250,DNS,108
Twitch,5,0.144281,172.30.1.250,172.30.1.1,TCP,96
Twitch,6,0.144490,172.30.1.1,172.30.1.250,TCP,88
Twitch,7,0.149477,172.30.1.1,172.30.1.250,TLSv1.2,604
Twitch,8,0.149789,172.30.1.250,172.30.1.1,TCP,88
Twitch,9,0.171232,172.30.1.250,172.30.1.1,DNS,160
Twitch,10,0.174780,172.30.1.1,172.30.1.250,TCP,108
Twitch,11,0.201666,172.30.1.250,172.30.1.1,TCP,96
Twitch,12,0.202142,172.30.1.1,172.30.1.250,TCP,88
Twitch,13,0.203896,172.30.1.1,172.30.1.250,TLSv1.3,604
Twitch,14,0.204156,172.30.1.250,172.30.1.1,TCP,88
Twitch,15,0.248175,172.30.1.250,172.30.1.1,TLSv1.3,2760
Twitch,16,0.248481,172.30.1.1,172.30.1.250,TCP,88
Twitch,17,0.250775,172.30.1.250,172.30.1.1,TLSv1.3,2468
Twitch,18,0.250896,172.30.1.1,172.30.1.250,TCP,88
Twitch,19,0.259728,172.30.1.250,172.30.1.1,TLSv1.2,4096
Twitch,20,0.260167,172.30.1.1,172.30.1.250,TCP,88
Twitch,21,0.260221,172.30.1.250,172.30.1.1,TLSv1.2,1640
Twitch,22,0.260701,172.30.1.1,172.30.1.250,TCP,88
Twitch,23,0.265124,172.30.1.1,172.30.1.250,TLSv1.3,152
Twitch,24,0.265261,172.30.1.250,172.30.1.1,TCP,88
Twitch,25,0.267233,172.30.1.1,172.30.1.250,TLSv1.3,132
Twitch,26,0.267405,172.30.1.250,172.30.1.1,TCP,88
Twitch,27,0.267572,172.30.1.1,172.30.1.250,TLSv1.3,160
Twitch,28,0.267680,172.30.1.250,172.30.1.1,TCP,88
Twitch,29,0.276492,172.30.1.1,172.30.1.250,TLSv1.3,796
Twitch,30,0.276734,172.30.1.250,172.30.1.1,TCP,88
Twitch,31,0.277374,172.30.1.1,172.30.1.250,TLSv1.2,212
Twitch,32,0.277594,172.30.1.250,172.30.1.1,TCP,88
Twitch,33,0.278996,172.30.1.1,172.30.1.250,TCP,108
Twitch,34,0.299420,172.30.1.250,172.30.1.1,TLSv1.3,168
Twitch,35,0.300485,172.30.1.1,172.30.1.250,TLSv1.3,120
Twitch,36,0.300700,172.30.1.250,172.30.1.1,TCP,88
Twitch,37,0.382350,172.30.1.250,172.30.1.1,TLSv1.2,260
Twitch,38,0.382490,172.30.1.250,172.30.1.1,TCP,96
Twitch,39,0.382691,172.30.1.1,172.30.1.250,TCP,88
Twitch,40,0.383870,172.30.1.1,172.30.1.250,TLSv1.2,140
Twitch,41,0.384155,172.30.1.250,172.30.1.1,TCP,88
Twitch,42,0.384270,172.30.1.1,172.30.1.250,TLSv1.2,172
Twitch,43,0.384343,172.30.1.250,172.30.1.1,TCP,88
Twitch,44,0.384553,172.30.1.250,172.30.1.1,TLSv1.2,156
Twitch,45,0.384813,172.30.1.1,172.30.1.250,TLSv1.2,604
Twitch,46,0.385285,172.30.1.250,172.30.1.1,TCP,88
Twitch,47,0.387959,172.30.1.1,172.30.1.250,TLSv1.2,908
Twitch,48,0.388094,172.30.1.250,172.30.1.1,TCP,88
Twitch,49,0.388359,172.30.1.1,172.30.1.250,TLSv1.2,5048
Twitch,50,0.388500,172.30.1.250,172.30.1.1,TCP,88
Twitch,51,0.426921,172.30.1.1,172.30.1.250,DNS,116
Twitch,52,0.429466,172.30.1.1,172.30.1.250,TCP,108
Twitch,53,0.443221,172.30.1.250,172.30.1.1,TLSv1.3,576
Twitch,54,0.460158,172.30.1.1,172.30.1.250,TLSv1.3,1724
Twitch,55,0.460416,172.30.1.250,172.30.1.1,TCP,88
Twitch,56,0.462016,172.30.1.250,172.30.1.1,DNS,244
Twitch,57,0.465714,172.30.1.1,172.30.1.250,TCP,108
Twitch,58,0.467791,172.30.1.250,172.30.1.1,TCP,96
Twitch,59,0.468696,172.30.1.1,172.30.1.250,TCP,88
Twitch,60,0.474828,172.30.1.1,172.30.1.250,TLSv1.3,604
Twitch,61,0.475123,172.30.1.250,172.30.1.1,TCP,88
Twitch,62,0.484561,172.30.1.1,172.30.1.250,DNS,112
Twitch,63,0.493237,172.30.1.250,172.30.1.1,TLSv1.2,124
Twitch,64,0.496338,172.30.1.250,172.30.1.1,TLSv1.2,244
Twitch,65,0.496571,172.30.1.1,172.30.1.250,TCP,88
Twitch,66,0.497443,172.30.1.1,172.30.1.250,TLSv1.2,140
Twitch,67,0.497548,172.30.1.250,172.30.1.1,TCP,88
Twitch,68,0.498454,172.30.1.1,172.30.1.250,TLSv1.2,140
Twitch,69,0.498831,172.30.1.250,172.30.1.1,TCP,88
Twitch,70,0.498935,172.30.1.1,172.30.1.250,TLSv1.2,172
Twitch,71,0.499079,172.30.1.250,172.30.1.1,TCP,88
Twitch,72,0.499188,172.30.1.250,172.30.1.1,TLSv1.2,224
Twitch,73,0.499276,172.30.1.1,172.30.1.250,TLSv1.2,120
Twitch,74,0.499305,172.30.1.250,172.30.1.1,TCP,88
Twitch,75,0.499350,172.30.1.1,172.30.1.250,TCP,88
Twitch,76,0.499364,172.30.1.250,172.30.1.1,TCP,88
Twitch,77,0.502038,172.30.1.1,172.30.1.250,TCP,88
Twitch,78,0.502086,172.30.1.1,172.30.1.250,TLSv1.2,780
Twitch,79,0.502144,172.30.1.1,172.30.1.250,TLSv1.2,10048
