timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl,label,prb_ul_per_thp,delay_median_w5,thp_dl_cv_w5,thp_dl_range_w5
2025-12-06 14:35:46.353518,1.0,1,1,0.115,0.021,316.86,0.11978,0.026690000000000002,3047,4263,1.0,159.72273661585848,516.59,0.8417499927837742,131.85
2025-12-06 18:52:23.353822,1.0,1,1,0.096,0.017,71.67,0.10019,0.020579999999999998,3274,3027,1.0,147.0845409579912,71.67,0.530148069805283,74.35
2025-12-06 13:51:09.353493,1.0,1,1,0.084,0.013,29.75,0.08721,0.01597,2858,2675,1.0,167.50155494667783,125.5,0.46063233882850685,114.72
2026-08-15 10:13:26.673455,1.0,1,1,4.224,0.079,126.47,4.25178,0.09605,7335,1360,5.0,14.159291887982386,90.7,0.16637994433840989,1818.7700000000004
2025-12-07 04:16:02.353681,1.0,1,1,0.039,0.007,407.12,0.040909999999999995,0.00912,1322,1902,1.0,208.5526087113368,329.0,0.709144335920177,112.74000000000001
2026-08-15 15:21:24.379777,1.0,1,1,0.095,0.006,97.5,0.10667,0.00948,3325,2038,5.0,214.97888027648943,97.5,0.15188732331129362,47.230000000000004
2026-08-15 09:40:37.991030,1.0,1,1,0.806,0.034,108.05,0.8159400000000001,0.04176,1891,888,5.0,21.26436730688776,90.94,0.019723912529084425,38.969999999999914
2025-12-06 22:38:41.353690,1.0,1,1,0.126,0.014,320.17,0.12982,0.018,3382,3626,1.0,201.44443325308703,366.29,0.44140648268514626,77.71000000000001
2025-12-07 04:21:09.353478,1.0,1,1,0.152,0.019,58.75,0.15694,0.02332,4510,3162,1.0,135.59176090944422,108.5,0.219923553351758,60.379999999999995
2026-08-15 13:35:36.994533,1.0,1,1,0.693,0.004,81.21,0.70217,0.00683,1452,1002,5.0,146.705688622886,81.21,0.10625641673968442,170.20000000000005
2025-12-06 22:12:15.353757,1.0,1,1,0.127,0.014,769.89,0.13109,0.01822,4168,3252,1.0,178.48517132353615,519.33,0.3305641027826638,85.75
2025-12-06 16:44:01.353696,1.0,1,1,0.023,0.004,123.4,0.02498,0.00534,728,1039,1.0,194.5692519533236,123.4,0.5184448760596859,88.19
2025-12-06 23:02:07.353837,1.0,1,1,0.029,0.004,313.5,0.0303,0.00594,950,1267,1.0,213.2996273906351,313.5,0.585304760054254,111.82000000000001
2025-12-07 07:18:09.357145,1.0,1,1,0.122,0.012,507.41,0.12555,0.01542,3659,2207,1.0,143.1258013537094,128.6,0.5155195955123499,94.59
2025-12-06 15:55:18.353683,1.0,1,1,0.039,0.006,855.0,0.04126,0.00766,1171,1920,1.0,250.65270879207455,322.88,0.7553552543559117,147.22000000000003
