App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,128
Call of Duty,2,0.047817,172.30.1.250,172.30.1.1,DNS,160
Call of Duty,3,0.049894,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,4,0.149444,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,5,0.149720,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,6,0.150986,172.30.1.1,172.30.1.250,SSL,128
Call of Duty,7,0.151147,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,8,0.257301,172.30.1.250,172.30.1.1,SSL,136
Call of Duty,9,0.257556,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,10,0.257672,172.30.1.1,172.30.1.250,SSL,140
Call of Duty,11,0.257729,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,12,0.382552,172.30.1.250,172.30.1.1,SSL,224
Call of Duty,13,0.382884,172.30.1.1,172.30.1.250,SSL,292
Call of Duty,14,0.382930,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,15,0.383596,172.30.1.1,172.30.1.250,SSL,644
Call of Duty,16,0.383827,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,17,0.518298,172.30.1.250,172.30.1.1,SSL,240
Call of Duty,18,0.559818,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,19,1.256133,172.30.1.1,172.30.1.250,DNS,120
Call of Duty,20,1.293531,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,21,1.301163,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,22,1.319230,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,23,1.321925,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,24,1.328508,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,25,1.329399,172.30.1.1,172.30.1.250,UDP,80
Call of Duty,26,1.354152,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,27,1.354585,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,28,1.368047,172.30.1.250,172.30.1.1,DNS,200
Call of Duty,29,1.371352,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,30,1.372941,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,31,1.373966,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,32,1.399680,172.30.1.250,172.30.1.1,UDP,84
Call of Duty,33,1.401680,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,34,1.402393,172.30.1.1,172.30.1.250,UDP,152
Call of Duty,35,1.402430,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,36,1.402451,172.30.1.1,172.30.1.250,UDP,116
Call of Duty,37,1.421587,172.30.1.1,172.30.1.250,UDP,128
Call of Duty,38,1.433985,172.30.1.250,172.30.1.1,DNS,148
Call of Duty,39,1.434204,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,40,1.434279,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,41,1.436318,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,42,1.436484,172.30.1.250,172.30.1.1,TCP,88
Unknown,43,1.442013,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,44,1.473602,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,45,1.473820,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,46,1.476689,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,47,1.477022,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,48,1.493797,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,49,1.494008,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,50,1.494048,172.30.1.250,172.30.1.1,TLSv1.3,1424
Call of Duty,51,1.494286,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,52,1.495672,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,53,1.496008,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,54,1.497175,172.30.1.250,172.30.1.1,TCP,1424
Call of Duty,55,1.497311,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,56,1.497555,172.30.1.250,172.30.1.1,TLSv1.3,1040
Call of Duty,57,1.497660,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,58,1.501601,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,59,1.501766,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,60,1.502953,172.30.1.1,172.30.1.250,TLSv1.3,2276
Call of Duty,61,1.503103,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,62,1.530443,172.30.1.250,172.30.1.1,UDP,100
Call of Duty,63,1.548517,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,64,1.552380,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,65,1.554145,172.30.1.1,172.30.1.250,TCP,88
Unknown,66,1.560886,172.30.1.250,172.30.1.1,TCP,96
Unknown,67,1.560991,172.30.1.1,172.30.1.250,TCP,88
Unknown,68,1.562160,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,69,1.604838,172.30.1.250,172.30.1.1,TLSv1.2,4184
Call of Duty,70,1.605074,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,71,1.607898,172.30.1.250,172.30.1.1,TLSv1.2,440
Call of Duty,72,1.608184,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,73,1.611784,172.30.1.1,172.30.1.250,TLSv1.2,180
