timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-11-12T08:51:18.775208,1,1,1,0,0,0.00,0.00,0.00,10,70
2025-11-12T08:51:18.775786,2,2,2,0,0,0.00,0.00,0.00,10,70
2025-11-12T08:51:18.776375,3,3,3,0,0,0.00,0.02,0.51,15,497
2025-11-12T08:51:18.776733,4,4,4,0,0,0.00,0.00,0.00,5,70
2025-11-12T08:51:18.819262,1,1,1,0,0,0.00,0.00,0.00,5,70
2025-11-12T08:51:18.819744,2,2,2,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.820077,3,3,3,0,0,0.00,0.00,0.00,5,70
2025-11-12T08:51:18.820395,4,4,4,0,0,0.00,0.00,0.00,10,70
2025-11-12T08:51:18.821453,1,1,1,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.821764,2,2,2,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.822180,3,3,3,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.822765,4,4,4,0,0,0.00,0.02,0.51,10,451
2025-11-12T08:51:18.823909,1,1,1,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.824210,2,2,2,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.824598,3,3,3,0,0,0.00,0.00,0.00,10,65
2025-11-12T08:51:18.824965,4,4,4,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.826161,1,1,1,0,0,0.00,0.00,0.00,10,60
2025-11-12T08:51:18.826477,2,2,2,0,0,0.00,0.00,0.00,10,65
2025-11-12T08:51:18.826803,3,3,3,0,0,0.00,0.00,0.00,5,60
2025-11-12T08:51:18.827119,4,4,4,0,0,0.00,0.00,0.00,5,65
2025-11-12T08:51:18.828303,1,1,1,0,0,0.00,0.00,0.00,5,55
2025-11-12T08:51:18.828574,2,2,2,0,0,0.00,0.00,0.00,5,55
2025-11-12T08:51:18.828885,3,3,3,0,0,0.00,0.00,0.00,5,55
2025-11-12T08:51:18.829980,4,4,4,0,0,0.00,0.00,0.00,5,55
2025-11-12T08:51:18.831295,1,1,1,0,0,0.00,0.00,0.00,5,60
2025-11-12T08:51:18.831629,2,2,2,0,0,0.00,0.00,0.00,5,60
2025-11-12T08:51:18.867134,3,3,3,0,0,0.00,0.00,0.00,5,60
2025-11-12T08:51:18.867426,4,4,4,0,0,0.00,0.00,0.00,10,60
2025-11-12T08:51:18.868373,1,1,1,0,0,0.00,0.00,0.00,5,50
2025-11-12T08:51:18.868650,2,2,2,0,0,0.00,0.02,0.51,10,480
2025-11-12T08:51:18.868904,3,3,3,0,0,0.00,0.00,0.00,5,50
2025-11-12T08:51:18.869229,4,4,4,0,0,0.00,0.00,0.00,5,50
2025-11-12T08:51:18.870557,1,1,1,0,0,0.00,0.00,0.00,5,50
2025-11-12T08:51:18.871013,2,2,2,0,0,0.00,0.00,0.00,5,45
2025-11-12T08:51:18.871418,3,3,3,0,0,0.00,0.00,0.00,5,50
2025-11-12T08:51:18.871873,4,4,4,0,0,0.00,0.00,0.00,5,50
