timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-27T16:00:15.248400,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T16:00:15.248626,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.249166,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T16:00:15.249484,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.249960,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T16:00:15.250346,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.250718,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T16:00:15.251032,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.251366,gNB-DU,,1,1,,,0.00,0.00,0.00,30,320
2025-10-27T16:00:15.251617,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.252003,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T16:00:15.252223,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.252574,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T16:00:15.252769,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.253151,gNB-DU,,1,1,,,0.00,0.00,0.00,30,320
2025-10-27T16:00:15.253554,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.254056,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T16:00:15.254322,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.254661,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T16:00:15.254891,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.255241,gNB-DU,,1,1,,,0.00,0.00,0.00,35,320
2025-10-27T16:00:15.255513,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.255900,gNB-DU,,1,1,,,0.00,0.00,0.00,30,340
2025-10-27T16:00:15.256122,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.256628,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T16:00:15.256894,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.336653,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T16:00:15.336939,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.337371,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T16:00:15.337580,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.338059,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T16:00:15.338347,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T16:00:15.338879,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T16:00:15.339195,gNB-CU-UP,1,,1,0,0,,,,,
