timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-28T12:01:25.855513,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.855924,gNB-DU,,1,1,,,0.00,0.05,1.02,496,4285
2025-10-28T12:01:25.856190,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.856561,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-28T12:01:25.856759,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.857070,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-28T12:01:25.857315,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.857610,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-28T12:01:25.857824,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.858123,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-28T12:01:25.858327,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.858747,gNB-DU,,1,1,,,0.00,0.02,0.51,40,845
2025-10-28T12:01:25.858972,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.859207,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-28T12:01:25.859556,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.864520,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-28T12:01:25.865222,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.865685,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-28T12:01:25.865903,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.866294,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-28T12:01:25.866593,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.866967,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-28T12:01:25.867242,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.867602,gNB-DU,,1,1,,,0.00,0.00,0.00,35,360
2025-10-28T12:01:25.867934,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.868333,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-28T12:01:25.868589,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.868910,gNB-DU,,1,1,,,0.00,0.00,0.00,35,360
2025-10-28T12:01:25.869384,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-28T12:01:25.869885,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
