timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-30T11:53:07.414576,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.415517,gNB-DU,,1,1,,,0.00,0.02,0.51,226,1160
2025-10-30T11:53:07.415830,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.416258,gNB-DU,,1,1,,,0.00,0.00,0.00,35,315
2025-10-30T11:53:07.416572,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.417070,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-30T11:53:07.417387,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.418015,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-30T11:53:07.418275,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.418657,gNB-DU,,1,1,,,0.00,0.02,0.51,40,756
2025-10-30T11:53:07.418954,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.419252,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-30T11:53:07.419485,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.420125,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-30T11:53:07.420458,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.420887,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-30T11:53:07.421296,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.462515,gNB-DU,,1,1,,,0.00,0.00,0.00,30,315
2025-10-30T11:53:07.462964,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.463363,gNB-DU,,1,1,,,0.00,0.00,0.00,30,290
2025-10-30T11:53:07.463626,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.464190,gNB-DU,,1,1,,,0.00,0.00,0.00,25,250
2025-10-30T11:53:07.464961,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.465311,gNB-CU-UP,2,,2,0,0,,,,,
2025-10-30T11:53:07.465792,gNB-DU,,1,1,,,0.00,0.02,0.51,15,520
2025-10-30T11:53:07.466311,gNB-DU,,2,2,,,0.00,0.02,0.51,217,1071
2025-10-30T11:53:07.466635,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.466876,gNB-CU-UP,2,,2,0,0,,,,,
2025-10-30T11:53:07.467551,gNB-DU,,1,1,,,0.00,0.00,0.00,20,150
2025-10-30T11:53:07.468038,gNB-DU,,2,2,,,0.00,0.00,0.00,15,150
2025-10-30T11:53:07.468299,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-30T11:53:07.468558,gNB-CU-UP,2,,2,0,0,,,,,
