App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,2,0.006988,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,3,0.049986,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,4,0.051429,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,5,0.072652,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,6,0.075512,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,7,0.077483,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,8,0.078902,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,9,0.082066,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,10,0.083251,172.30.1.250,172.30.1.1,DNS,200
Call of Duty,11,0.089464,172.30.1.250,172.30.1.1,DNS,148
Call of Duty,12,0.098171,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,13,0.121046,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,14,0.121275,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,15,0.123154,172.30.1.1,172.30.1.250,TLSv1.3,700
Call of Duty,16,0.123384,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,17,0.131653,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,18,0.176545,172.30.1.250,172.30.1.1,TLSv1.3,356
Call of Duty,19,0.176877,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,20,0.178957,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,21,0.179051,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,22,0.179120,172.30.1.1,172.30.1.250,TLSv1.3,2308
Call of Duty,23,0.179163,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,24,0.183079,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,25,0.183218,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,26,0.183238,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,27,0.183305,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,28,0.183988,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,29,0.184407,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,30,0.185044,172.30.1.1,172.30.1.250,TLSv1.2,608
Call of Duty,31,0.185766,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,32,0.221732,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,33,0.221842,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,34,0.222139,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,35,0.233771,172.30.1.250,172.30.1.1,TLSv1.3,392
Call of Duty,36,0.240127,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,37,0.240448,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,38,0.247752,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,39,0.247968,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,40,0.277865,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,41,0.296632,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,42,0.296880,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,43,0.297071,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,44,0.297088,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,45,0.302070,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,46,0.316711,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,47,0.316936,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,48,0.317146,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,49,0.317248,172.30.1.1,172.30.1.250,TLSv1.2,896
Call of Duty,50,0.317264,172.30.1.1,172.30.1.250,TLSv1.2,772
Call of Duty,51,0.317328,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,52,0.317445,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,53,0.318363,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,54,0.318525,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,55,0.355816,172.30.1.250,172.30.1.1,TCP,152
Call of Duty,56,0.356720,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,57,0.372387,172.30.1.1,172.30.1.250,TCP,204
Call of Duty,58,0.372582,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,59,0.485692,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,60,0.488499,172.30.1.250,172.30.1.1,TLSv1.2,564
Call of Duty,61,0.515611,172.30.1.250,172.30.1.1,TCP,220
Call of Duty,62,0.529768,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,63,0.529812,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,64,0.558219,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,65,0.664358,172.30.1.250,172.30.1.1,TCP,156
Call of Duty,66,0.665529,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,67,0.727659,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,68,0.727844,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,69,0.767944,172.30.1.1,172.30.1.250,TCP,880
Call of Duty,70,0.768176,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,71,0.928183,172.30.1.250,172.30.1.1,TCP,2760
Call of Duty,72,0.928426,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,73,0.928470,172.30.1.250,172.30.1.1,TCP,4096
Call of Duty,74,0.928582,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,75,0.931229,172.30.1.250,172.30.1.1,TCP,6768
Call of Duty,76,0.931371,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,77,1.025172,172.30.1.250,172.30.1.1,TCP,1424
Call of Duty,78,1.025725,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,79,1.027070,172.30.1.250,172.30.1.1,TCP,4096
Call of Duty,80,1.027220,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,81,1.040866,172.30.1.250,172.30.1.1,TCP,10048
Call of Duty,82,1.041146,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,83,1.041216,172.30.1.250,172.30.1.1,TCP,8204
Call of Duty,84,1.041713,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,85,1.115888,172.30.1.1,172.30.1.250,TCP,192
Call of Duty,86,1.116119,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,87,1.187332,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,88,1.187552,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,89,1.273877,172.30.1.1,172.30.1.250,UDP,88
Call of Duty,90,1.279313,172.30.1.1,172.30.1.250,UDP,88
Call of Duty,91,1.281864,172.30.1.1,172.30.1.250,UDP,88
Call of Duty,92,1.324049,172.30.1.250,172.30.1.1,TCP,1024
Call of Duty,93,1.324742,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,94,1.337140,172.30.1.250,172.30.1.1,UDP,88
Call of Duty,95,1.350323,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,96,1.350538,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,97,1.373889,172.30.1.250,172.30.1.1,UDP,88
Call of Duty,98,1.374963,172.30.1.250,172.30.1.1,UDP,88
Call of Duty,99,1.548444,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,100,1.553964,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,101,1.553987,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,102,1.553995,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,103,1.554001,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,104,1.554007,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,105,1.554121,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,106,1.564417,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,107,1.564467,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,108,1.564485,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,109,1.564745,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,110,1.564892,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,111,1.564913,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,112,1.564953,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,113,1.588085,172.30.1.250,172.30.1.1,TCP,192
Call of Duty,114,1.594989,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,115,1.595032,172.30.1.1,172.30.1.250,TCP,144
Call of Duty,116,1.595049,172.30.1.1,172.30.1.250,TCP,144
