App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,2,0.040613,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,3,0.044728,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,4,0.048035,172.30.1.1,172.30.1.250,DNS,120
Call of Duty,5,0.069204,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,6,0.089985,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,7,0.090091,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,8,0.093323,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,9,0.093516,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,10,0.098107,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,11,0.099500,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,12,0.100240,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,13,0.114423,172.30.1.1,172.30.1.250,UDP,108
Call of Duty,14,0.115768,172.30.1.1,172.30.1.250,UDP,152
Call of Duty,15,0.116616,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,16,0.118371,172.30.1.1,172.30.1.250,DNS,132
Call of Duty,17,0.126395,172.30.1.1,172.30.1.250,UDP,236
Call of Duty,18,0.138557,172.30.1.250,172.30.1.1,TLSv1.3,2760
Call of Duty,19,0.138939,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,20,0.138979,172.30.1.250,172.30.1.1,TLSv1.3,1040
Call of Duty,21,0.139044,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,22,0.146368,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,23,0.146448,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,24,0.147023,172.30.1.1,172.30.1.250,TLSv1.3,2308
Call of Duty,25,0.147140,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,26,0.161799,172.30.1.250,172.30.1.1,DNS,200
Call of Duty,27,0.164377,172.30.1.250,172.30.1.1,DNS,148
Call of Duty,28,0.167742,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,29,0.169485,172.30.1.1,172.30.1.250,UDP,80
Unknown,30,0.170888,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,31,0.198683,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,32,0.198796,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,33,0.200763,172.30.1.1,172.30.1.250,TLSv1.2,604
