[2026-03-24 14:01:17,983] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 14:01:18,424] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 14:01:18,424] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 14:01:18,427] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 14:01:18,427] [INFO] xApp KCL listening on port 4500
[2026-03-24 14:01:35,427] [INFO] Client connected: ('10.244.0.25', 60516) | NUM_UES=5 | T=32.0s
[2026-03-24 14:04:15,816] [INFO] [2026-03-24T14:04:14.983799] UE 1/5 | ran_ue_id=1 | PRB=255.62 ThpDl=5.28 ThpUl=8062.34 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:04:15,816] [INFO] [2026-03-24T14:04:14.983799] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:04:15,817] [INFO] [2026-03-24T14:04:14.983799] UE 3/5 | ran_ue_id=3 | PRB=10788.22 ThpDl=8080.79 ThpUl=5.51 RlcDelay=336.35 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:04:15,817] [INFO] [2026-03-24T14:04:14.983799] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:04:15,817] [INFO] [2026-03-24T14:04:14.983799] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:04:47,922] [INFO] [2026-03-24T14:04:46.983537] UE 1/5 | ran_ue_id=1 | PRB=255.72 ThpDl=5.25 ThpUl=8063.18 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:04:47,922] [INFO] [2026-03-24T14:04:46.983537] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:04:47,922] [INFO] [2026-03-24T14:04:46.983537] UE 3/5 | ran_ue_id=3 | PRB=10495.66 ThpDl=8080.73 ThpUl=5.52 RlcDelay=316.34 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:04:47,922] [INFO] [2026-03-24T14:04:46.983537] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:04:47,922] [INFO] [2026-03-24T14:04:46.983537] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
