[2026-03-24 13:22:00,458] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 13:22:00,891] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 13:22:00,891] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 13:22:00,893] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 13:22:00,893] [INFO] xApp KCL listening on port 4500
[2026-03-24 13:22:36,431] [INFO] Client connected: ('10.244.0.25', 37890) | NUM_UES=5 | T=16.0s
[2026-03-24 13:23:56,602] [INFO] [2026-03-24T13:23:56.494137] UE 1/5 | ran_ue_id=1 | PRB=254.06 ThpDl=5.25 ThpUl=8061.90 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:23:56,602] [INFO] [2026-03-24T13:23:56.494137] UE 2/5 | ran_ue_id=2 | PRB=10466.81 ThpDl=8077.88 ThpUl=5.52 RlcDelay=295.78 VolDL=8029 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:23:56,602] [INFO] [2026-03-24T13:23:56.494137] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:56,602] [INFO] [2026-03-24T13:23:56.494137] UE 4/5 | ran_ue_id=4 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:56,602] [INFO] [2026-03-24T13:23:56.494137] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:12,651] [INFO] [2026-03-24T13:24:12.494141] UE 1/5 | ran_ue_id=1 | PRB=255.94 ThpDl=5.32 ThpUl=8061.88 RlcDelay=0.00 VolDL=4 VolUL=8002 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:12,651] [INFO] [2026-03-24T13:24:12.494141] UE 2/5 | ran_ue_id=2 | PRB=11069.00 ThpDl=8082.62 ThpUl=5.50 RlcDelay=388.42 VolDL=8033 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:12,651] [INFO] [2026-03-24T13:24:12.494141] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:12,651] [INFO] [2026-03-24T13:24:12.494141] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:12,651] [INFO] [2026-03-24T13:24:12.494141] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:28,706] [INFO] [2026-03-24T13:24:28.494415] UE 1/5 | ran_ue_id=1 | PRB=258.25 ThpDl=5.26 ThpUl=8062.23 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:28,707] [INFO] [2026-03-24T13:24:28.494415] UE 2/5 | ran_ue_id=2 | PRB=10553.06 ThpDl=8079.50 ThpUl=5.56 RlcDelay=289.77 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:28,707] [INFO] [2026-03-24T13:24:28.494415] UE 3/5 | ran_ue_id=3 | PRB=5.31 ThpDl=0.00 ThpUl=0.03 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:28,707] [INFO] [2026-03-24T13:24:28.494415] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:28,707] [INFO] [2026-03-24T13:24:28.494415] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:44,755] [INFO] [2026-03-24T13:24:44.493937] UE 1/5 | ran_ue_id=1 | PRB=262.56 ThpDl=5.31 ThpUl=8062.30 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:44,755] [INFO] [2026-03-24T13:24:44.493937] UE 2/5 | ran_ue_id=2 | PRB=10880.94 ThpDl=8081.40 ThpUl=5.50 RlcDelay=360.72 VolDL=8029 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:24:44,755] [INFO] [2026-03-24T13:24:44.493937] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:44,756] [INFO] [2026-03-24T13:24:44.493937] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:24:44,756] [INFO] [2026-03-24T13:24:44.493937] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:00,807] [INFO] [2026-03-24T13:25:00.494179] UE 1/5 | ran_ue_id=1 | PRB=268.19 ThpDl=5.29 ThpUl=8061.06 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:00,808] [INFO] [2026-03-24T13:25:00.494179] UE 2/5 | ran_ue_id=2 | PRB=10801.81 ThpDl=8079.83 ThpUl=5.48 RlcDelay=327.96 VolDL=8030 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:00,808] [INFO] [2026-03-24T13:25:00.494179] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:00,808] [INFO] [2026-03-24T13:25:00.494179] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:00,808] [INFO] [2026-03-24T13:25:00.494179] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:16,860] [INFO] [2026-03-24T13:25:16.493651] UE 1/5 | ran_ue_id=1 | PRB=234.31 ThpDl=5.29 ThpUl=8063.31 RlcDelay=0.00 VolDL=4 VolUL=8002 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:16,860] [INFO] [2026-03-24T13:25:16.493651] UE 2/5 | ran_ue_id=2 | PRB=10800.44 ThpDl=8082.38 ThpUl=5.49 RlcDelay=359.49 VolDL=8033 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:16,860] [INFO] [2026-03-24T13:25:16.493651] UE 3/5 | ran_ue_id=3 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:16,861] [INFO] [2026-03-24T13:25:16.493651] UE 4/5 | ran_ue_id=4 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:16,861] [INFO] [2026-03-24T13:25:16.493651] UE 5/5 | ran_ue_id=5 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:32,913] [INFO] [2026-03-24T13:25:32.494126] UE 1/5 | ran_ue_id=1 | PRB=250.44 ThpDl=5.24 ThpUl=8061.42 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:32,913] [INFO] [2026-03-24T13:25:32.494126] UE 2/5 | ran_ue_id=2 | PRB=10474.56 ThpDl=8079.40 ThpUl=5.46 RlcDelay=318.52 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:32,913] [INFO] [2026-03-24T13:25:32.494126] UE 3/5 | ran_ue_id=3 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:32,913] [INFO] [2026-03-24T13:25:32.494126] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.03 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:32,913] [INFO] [2026-03-24T13:25:32.494126] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.03 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:48,975] [INFO] [2026-03-24T13:25:48.493981] UE 1/5 | ran_ue_id=1 | PRB=255.06 ThpDl=5.28 ThpUl=8061.36 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:48,975] [INFO] [2026-03-24T13:25:48.493981] UE 2/5 | ran_ue_id=2 | PRB=10798.75 ThpDl=8080.32 ThpUl=5.50 RlcDelay=355.40 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:25:48,975] [INFO] [2026-03-24T13:25:48.493981] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:48,975] [INFO] [2026-03-24T13:25:48.493981] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:25:48,975] [INFO] [2026-03-24T13:25:48.493981] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:05,037] [INFO] [2026-03-24T13:26:04.494271] UE 1/5 | ran_ue_id=1 | PRB=255.25 ThpDl=5.25 ThpUl=8062.02 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:05,037] [INFO] [2026-03-24T13:26:04.494271] UE 2/5 | ran_ue_id=2 | PRB=10497.19 ThpDl=8079.96 ThpUl=5.50 RlcDelay=318.69 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:05,038] [INFO] [2026-03-24T13:26:04.494271] UE 3/5 | ran_ue_id=3 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:05,038] [INFO] [2026-03-24T13:26:04.494271] UE 4/5 | ran_ue_id=4 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:05,038] [INFO] [2026-03-24T13:26:04.494271] UE 5/5 | ran_ue_id=5 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:21,110] [INFO] [2026-03-24T13:26:20.493618] UE 1/5 | ran_ue_id=1 | PRB=249.38 ThpDl=5.31 ThpUl=8066.69 RlcDelay=0.00 VolDL=4 VolUL=8004 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:21,110] [INFO] [2026-03-24T13:26:20.493618] UE 2/5 | ran_ue_id=2 | PRB=10940.38 ThpDl=8085.51 ThpUl=5.50 RlcDelay=353.88 VolDL=8036 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:21,110] [INFO] [2026-03-24T13:26:20.493618] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:21,110] [INFO] [2026-03-24T13:26:20.493618] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:21,110] [INFO] [2026-03-24T13:26:20.493618] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:37,180] [INFO] [2026-03-24T13:26:36.494064] UE 1/5 | ran_ue_id=1 | PRB=254.75 ThpDl=5.30 ThpUl=8059.74 RlcDelay=0.00 VolDL=4 VolUL=7996 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:37,180] [INFO] [2026-03-24T13:26:36.494064] UE 2/5 | ran_ue_id=2 | PRB=10864.75 ThpDl=8076.92 ThpUl=5.52 RlcDelay=379.06 VolDL=8028 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:37,180] [INFO] [2026-03-24T13:26:36.494064] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:37,180] [INFO] [2026-03-24T13:26:36.494064] UE 4/5 | ran_ue_id=4 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:37,180] [INFO] [2026-03-24T13:26:36.494064] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:53,250] [INFO] [2026-03-24T13:26:52.494413] UE 1/5 | ran_ue_id=1 | PRB=261.75 ThpDl=5.25 ThpUl=8061.60 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:53,250] [INFO] [2026-03-24T13:26:52.494413] UE 2/5 | ran_ue_id=2 | PRB=10481.88 ThpDl=8079.47 ThpUl=5.51 RlcDelay=286.32 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:26:53,250] [INFO] [2026-03-24T13:26:52.494413] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:53,250] [INFO] [2026-03-24T13:26:52.494413] UE 4/5 | ran_ue_id=4 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:26:53,250] [INFO] [2026-03-24T13:26:52.494413] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:27:09,329] [INFO] [2026-03-24T13:27:08.494143] UE 1/5 | ran_ue_id=1 | PRB=254.81 ThpDl=5.27 ThpUl=8065.07 RlcDelay=0.00 VolDL=4 VolUL=8004 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:27:09,329] [INFO] [2026-03-24T13:27:08.494143] UE 2/5 | ran_ue_id=2 | PRB=10735.12 ThpDl=8083.71 ThpUl=5.50 RlcDelay=282.76 VolDL=8035 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:27:09,329] [INFO] [2026-03-24T13:27:08.494143] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:27:09,329] [INFO] [2026-03-24T13:27:08.494143] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:27:09,330] [INFO] [2026-03-24T13:27:08.494143] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:27:25,405] [INFO] [2026-03-24T13:27:24.493911] UE 1/5 | ran_ue_id=1 | PRB=266.25 ThpDl=5.29 ThpUl=8060.70 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:27:25,405] [INFO] [2026-03-24T13:27:24.493911] UE 2/5 | ran_ue_id=2 | PRB=10929.81 ThpDl=8080.03 ThpUl=5.49 RlcDelay=370.90 VolDL=8030 VolUL=4 | Load: Heavy  | PRB alloc: 7%
