[2026-03-24 09:28:00,355] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 09:28:00,782] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 09:28:00,783] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 09:28:00,784] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 09:28:00,785] [INFO] xApp KCL listening on port 4500
[2026-03-24 09:28:01,426] [INFO] Client connected: ('10.244.0.25', 52764) | NUM_UES=5 | T=8.0s
[2026-03-24 09:28:44,511] [INFO] [2026-03-24T09:28:43.591789] UE 1/5 | ran_ue_id=1 | PRB=1040.12 ThpDl=320.77 ThpUl=2698.15 RlcDelay=281.66 VolDL=281 VolUL=2643 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:28:44,511] [INFO] [2026-03-24T09:28:43.591789] UE 2/5 | ran_ue_id=2 | PRB=1023.00 ThpDl=376.80 ThpUl=235.97 RlcDelay=301.73 VolDL=345 VolUL=202 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:28:44,511] [INFO] [2026-03-24T09:28:43.591789] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:28:44,511] [INFO] [2026-03-24T09:28:43.591789] UE 4/5 | ran_ue_id=4 | PRB=2350.62 ThpDl=1707.23 ThpUl=5.55 RlcDelay=327.98 VolDL=1696 VolUL=4 | Load: Heavy  | PRB alloc: 12%
[2026-03-24 09:28:44,512] [INFO] [2026-03-24T09:28:43.591789] UE 5/5 | ran_ue_id=5 | PRB=1303.12 ThpDl=634.57 ThpUl=57.88 RlcDelay=301.32 VolDL=626 VolUL=49 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:28:52,531] [INFO] [2026-03-24T09:28:51.591595] UE 1/5 | ran_ue_id=1 | PRB=1035.50 ThpDl=321.60 ThpUl=2716.44 RlcDelay=272.25 VolDL=282 VolUL=2658 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:28:52,531] [INFO] [2026-03-24T09:28:51.591595] UE 2/5 | ran_ue_id=2 | PRB=1054.12 ThpDl=377.11 ThpUl=236.77 RlcDelay=288.24 VolDL=345 VolUL=203 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:28:52,531] [INFO] [2026-03-24T09:28:51.591595] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:28:52,531] [INFO] [2026-03-24T09:28:51.591595] UE 4/5 | ran_ue_id=4 | PRB=2411.88 ThpDl=1712.31 ThpUl=5.55 RlcDelay=360.48 VolDL=1701 VolUL=4 | Load: Heavy  | PRB alloc: 12%
[2026-03-24 09:28:52,531] [INFO] [2026-03-24T09:28:51.591595] UE 5/5 | ran_ue_id=5 | PRB=1358.38 ThpDl=652.57 ThpUl=58.02 RlcDelay=271.46 VolDL=644 VolUL=49 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:01,543] [INFO] [2026-03-24T09:29:00.591984] UE 1/5 | ran_ue_id=1 | PRB=1026.11 ThpDl=321.16 ThpUl=2701.34 RlcDelay=253.58 VolDL=282 VolUL=2645 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:29:01,543] [INFO] [2026-03-24T09:29:00.591984] UE 2/5 | ran_ue_id=2 | PRB=1025.33 ThpDl=376.88 ThpUl=236.34 RlcDelay=329.98 VolDL=345 VolUL=202 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:01,543] [INFO] [2026-03-24T09:29:00.591984] UE 3/5 | ran_ue_id=3 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:29:01,543] [INFO] [2026-03-24T09:29:00.591984] UE 4/5 | ran_ue_id=4 | PRB=2359.44 ThpDl=1707.91 ThpUl=5.58 RlcDelay=397.91 VolDL=1697 VolUL=4 | Load: Heavy  | PRB alloc: 12%
[2026-03-24 09:29:01,543] [INFO] [2026-03-24T09:29:00.591984] UE 5/5 | ran_ue_id=5 | PRB=1317.00 ThpDl=643.53 ThpUl=57.93 RlcDelay=297.76 VolDL=635 VolUL=49 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:09,563] [INFO] [2026-03-24T09:29:08.591634] UE 1/5 | ran_ue_id=1 | PRB=1028.62 ThpDl=321.13 ThpUl=2713.15 RlcDelay=314.26 VolDL=282 VolUL=2656 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:29:09,563] [INFO] [2026-03-24T09:29:08.591634] UE 2/5 | ran_ue_id=2 | PRB=1033.75 ThpDl=376.96 ThpUl=236.09 RlcDelay=320.46 VolDL=345 VolUL=202 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:09,564] [INFO] [2026-03-24T09:29:08.591634] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:29:09,564] [INFO] [2026-03-24T09:29:08.591634] UE 4/5 | ran_ue_id=4 | PRB=2366.25 ThpDl=1710.29 ThpUl=5.51 RlcDelay=402.71 VolDL=1699 VolUL=4 | Load: Heavy  | PRB alloc: 12%
