App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,2,0.252631,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,3,0.272893,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,4,0.321043,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,5,0.327694,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,6,0.333761,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,7,0.345270,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,8,0.384701,172.30.1.250,172.30.1.1,DNS,132
Call of Duty,9,0.391340,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,10,0.391721,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,11,0.395003,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,12,0.395552,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,13,0.409287,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,14,0.465970,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,15,0.618884,172.30.1.250,172.30.1.1,TLSv1.3,5432
Call of Duty,16,0.619906,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,17,0.621259,172.30.1.250,172.30.1.1,TLSv1.3,760
Call of Duty,18,0.621484,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,19,0.623371,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,20,0.623840,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,21,0.626113,172.30.1.1,172.30.1.250,TLSv1.3,152
Call of Duty,22,0.629821,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,23,0.630329,172.30.1.1,172.30.1.250,TLSv1.3,4824
Call of Duty,24,0.630688,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,25,0.643606,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,26,0.643990,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,27,0.645052,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,28,0.645229,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,29,0.646360,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,30,0.646658,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,31,0.665976,172.30.1.250,172.30.1.1,DNS,216
