[2026-03-23 12:38:44,643] [INFO] [2026-03-23T12:38:44.374337] UE 3/5 | ran_ue_id=3 | PRB=4.84 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:38:44,643] [INFO] [2026-03-23T12:38:44.374337] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:38:44,643] [INFO] [2026-03-23T12:38:44.374337] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:39:16,749] [INFO] [2026-03-23T12:39:16.374448] UE 1/5 | ran_ue_id=1 | PRB=252.78 ThpDl=5.25 ThpUl=8061.91 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:16,749] [INFO] [2026-03-23T12:39:16.374448] UE 2/5 | ran_ue_id=2 | PRB=10475.72 ThpDl=8079.91 ThpUl=5.47 RlcDelay=282.39 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:39:16,749] [INFO] [2026-03-23T12:39:16.374448] UE 3/5 | ran_ue_id=3 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:16,749] [INFO] [2026-03-23T12:39:16.374448] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:16,749] [INFO] [2026-03-23T12:39:16.374448] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:39:49,100] [INFO] [2026-03-23T12:39:48.374483] UE 1/5 | ran_ue_id=1 | PRB=263.12 ThpDl=5.28 ThpUl=8061.62 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:49,101] [INFO] [2026-03-23T12:39:48.374483] UE 2/5 | ran_ue_id=2 | PRB=10761.38 ThpDl=8080.29 ThpUl=5.49 RlcDelay=351.23 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:39:49,101] [INFO] [2026-03-23T12:39:48.374483] UE 3/5 | ran_ue_id=3 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:49,101] [INFO] [2026-03-23T12:39:48.374483] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:39:49,101] [INFO] [2026-03-23T12:39:48.374483] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:40:22,027] [INFO] [2026-03-23T12:40:21.374663] UE 1/5 | ran_ue_id=1 | PRB=267.42 ThpDl=5.34 ThpUl=8061.90 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:22,027] [INFO] [2026-03-23T12:40:21.374663] UE 2/5 | ran_ue_id=2 | PRB=11194.42 ThpDl=8081.66 ThpUl=5.50 RlcDelay=423.31 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:40:22,028] [INFO] [2026-03-23T12:40:21.374663] UE 3/5 | ran_ue_id=3 | PRB=5.15 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:22,028] [INFO] [2026-03-23T12:40:21.374663] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:22,028] [INFO] [2026-03-23T12:40:21.374663] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:40:54,185] [INFO] [2026-03-23T12:40:53.373847] UE 1/5 | ran_ue_id=1 | PRB=10627.88 ThpDl=6035.11 ThpUl=1121.06 RlcDelay=237.45 VolDL=5997 VolUL=1112 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:54,185] [INFO] [2026-03-23T12:40:53.373847] UE 2/5 | ran_ue_id=2 | PRB=1902.41 ThpDl=1124.13 ThpUl=6021.22 RlcDelay=81.81 VolDL=1116 VolUL=5974 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:40:54,185] [INFO] [2026-03-23T12:40:53.373847] UE 3/5 | ran_ue_id=3 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:54,185] [INFO] [2026-03-23T12:40:53.373847] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:40:54,185] [INFO] [2026-03-23T12:40:53.373847] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:41:26,344] [INFO] [2026-03-23T12:41:25.374836] UE 1/5 | ran_ue_id=1 | PRB=10458.19 ThpDl=8080.75 ThpUl=5.54 RlcDelay=308.03 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:41:26,344] [INFO] [2026-03-23T12:41:25.374836] UE 2/5 | ran_ue_id=2 | PRB=248.38 ThpDl=5.25 ThpUl=8063.07 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:41:26,345] [INFO] [2026-03-23T12:41:25.374836] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:41:26,345] [INFO] [2026-03-23T12:41:25.374836] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:41:26,345] [INFO] [2026-03-23T12:41:25.374836] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:02,540] [INFO] [2026-03-23T12:42:02.376868] UE 1/5 | ran_ue_id=1 | PRB=10512.73 ThpDl=8080.76 ThpUl=5.52 RlcDelay=288.37 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:42:02,540] [INFO] [2026-03-23T12:42:02.376868] UE 2/5 | ran_ue_id=2 | PRB=253.00 ThpDl=5.25 ThpUl=8061.99 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:02,540] [INFO] [2026-03-23T12:42:02.376868] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:42:02,540] [INFO] [2026-03-23T12:42:02.376868] UE 4/5 | ran_ue_id=4 | PRB=4.83 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:02,540] [INFO] [2026-03-23T12:42:02.376868] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:36,699] [INFO] [2026-03-23T12:42:36.376882] UE 1/5 | ran_ue_id=1 | PRB=10491.22 ThpDl=8079.78 ThpUl=5.51 RlcDelay=303.37 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:42:36,699] [INFO] [2026-03-23T12:42:36.376882] UE 2/5 | ran_ue_id=2 | PRB=240.83 ThpDl=5.25 ThpUl=8061.88 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:36,699] [INFO] [2026-03-23T12:42:36.376882] UE 3/5 | ran_ue_id=3 | PRB=4.78 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:42:36,699] [INFO] [2026-03-23T12:42:36.376882] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:42:36,699] [INFO] [2026-03-23T12:42:36.376882] UE 5/5 | ran_ue_id=5 | PRB=4.78 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:09,001] [INFO] [2026-03-23T12:43:08.375118] UE 1/5 | ran_ue_id=1 | PRB=10462.21 ThpDl=8080.17 ThpUl=5.53 RlcDelay=297.67 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:43:09,001] [INFO] [2026-03-23T12:43:08.375118] UE 2/5 | ran_ue_id=2 | PRB=253.57 ThpDl=5.25 ThpUl=8062.33 RlcDelay=0.00 VolDL=4 VolUL=8001 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:09,001] [INFO] [2026-03-23T12:43:08.375118] UE 3/5 | ran_ue_id=3 | PRB=4.82 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:43:09,001] [INFO] [2026-03-23T12:43:08.375118] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:09,001] [INFO] [2026-03-23T12:43:08.375118] UE 5/5 | ran_ue_id=5 | PRB=5.18 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:41,126] [INFO] [2026-03-23T12:43:40.374193] UE 1/5 | ran_ue_id=1 | PRB=10463.62 ThpDl=8080.71 ThpUl=5.51 RlcDelay=309.35 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:43:41,126] [INFO] [2026-03-23T12:43:40.374193] UE 2/5 | ran_ue_id=2 | PRB=250.97 ThpDl=5.25 ThpUl=8062.87 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:41,126] [INFO] [2026-03-23T12:43:40.374193] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:43:41,126] [INFO] [2026-03-23T12:43:40.374193] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:43:41,126] [INFO] [2026-03-23T12:43:40.374193] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:44:13,358] [INFO] [2026-03-23T12:44:12.376462] UE 1/5 | ran_ue_id=1 | PRB=10467.53 ThpDl=8078.72 ThpUl=5.52 RlcDelay=290.47 VolDL=8030 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:44:13,358] [INFO] [2026-03-23T12:44:12.376462] UE 2/5 | ran_ue_id=2 | PRB=253.53 ThpDl=5.25 ThpUl=8061.05 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:44:13,358] [INFO] [2026-03-23T12:44:12.376462] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:44:13,358] [INFO] [2026-03-23T12:44:12.376462] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:44:13,359] [INFO] [2026-03-23T12:44:12.376462] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:44:45,555] [INFO] [2026-03-23T12:44:45.376371] UE 1/5 | ran_ue_id=1 | PRB=10486.65 ThpDl=8083.36 ThpUl=5.49 RlcDelay=296.33 VolDL=8036 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:44:45,555] [INFO] [2026-03-23T12:44:45.376371] UE 2/5 | ran_ue_id=2 | PRB=249.35 ThpDl=5.24 ThpUl=8065.09 RlcDelay=0.00 VolDL=4 VolUL=8005 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:44:45,555] [INFO] [2026-03-23T12:44:45.376371] UE 3/5 | ran_ue_id=3 | PRB=4.75 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:44:45,555] [INFO] [2026-03-23T12:44:45.376371] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
